No,Student ID,Last Name,First Name,Gender,Date Of Birth,Social ID
1,2312222,Dinh Ngoc,Anh,Female,12/07/2005,98765
2,23127002,Le Nhat,Khoi,Male,23/06/2005,55554463
3,23127011,Le Anh,Duy,Male,24/05/2005,12256
4,23127144,Dinh Dai,Vu,Male,12/09/2005,12253
5,23127158,Nguyen Thanh Gia,Bao,Male,14/06/2005,666475
6,23127165,Nguyen Hai,Dang,Male,11/09/2005,1124839
7,23127181,Nguyen Tran Quoc,Duy,Male,12/08/2005,12252
8,23127189,Tran Trong,Hieu,Male,12/10/2005,12254
9,23127271,Nguyen Ngoc Bich,Tram,Female,24/05/2005,12255
10,23127333,Truong Quoc,Cuong,Male,11/07/2005,443883
11,23127404,Le Tuan,Loc,Male,12/07/2005,12251
